Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,Vll ab mean,Vll bc mean,Vll ca mean,I a mean,I b mean,I c mean,Vll avg mean,I avg mean
01-02-2023 1:30:00000,567.175049,12.716940,0.000000,0.000715,23182.281250,23263.711,23220.662,56.918133,56.397686,56.115131,23222.195,56.476948
01-02-2023 1:45:00000,567.172607,11.777281,0.000000,0.009178,23182.373,23263.076,23219.908,56.910027,56.400166,56.119846,23221.785,56.476677
01-02-2023 2:00:00000,567.145996,9.409100,0.000000,0.084283,23181.320,23260.902,23219.752,56.906593,56.405121,56.103733,23220.676,56.471786
01-02-2023 2:15:00000,567.133911,5.445693,0.000000,0.760991,23182.555,23261.176,23222.627,56.904705,56.398670,56.080112,23222.115,56.461136
01-02-2023 2:30:00000,567.172485,5.274283,0.000000,0.956732,23183.504,23263.342,23222.893,56.905846,56.381943,56.098408,23223.238,56.462040
01-02-2023 2:45:00000,567.180176,3.568356,0.000000,2.143206,23183.145,23264.801,23224.133,56.921741,56.360332,56.102905,23224.025,56.461639
01-02-2023 3:00:00000,567.110352,3.061653,0.000000,3.026924,23179.631,23259.377,23220.693,56.919052,56.381855,56.097225,23219.891,56.466099
01-02-2023 3:15:00000,567.107544,5.895218,0.000000,1.179422,23182.475,23260.646,23219.967,56.883461,56.398708,56.107780,23221.037,56.463272
01-02-2023 3:30:00000,567.155823,4.565403,0.000000,1.390744,23187.238,23264.389,23224.420,56.871689,56.395451,56.096283,23225.352,56.454502
01-02-2023 3:45:00000,567.170776,2.846807,0.000000,2.726653,23186.393,23263.285,23222.982,56.867546,56.392811,56.111023,23224.209,56.457130
01-02-2023 4:00:00000,567.105225,0.546175,0.000000,11.993641,23188.029,23265.238,23224.604,56.867714,56.375587,56.159885,23225.961,56.467705
01-02-2023 4:15:00000,567.274170,2.012045,0.000000,6.782920,23186.047,23262.439,23221.404,56.876682,56.404495,56.155518,23223.303,56.478840
01-02-2023 4:30:00000,567.253845,0.337201,0.000000,13.595995,23187.129,23263.910,23221.045,56.875275,56.392117,56.213375,23224.039,56.493595
01-02-2023 4:45:00000,567.179626,7.827617,0.000000,19.899876,23187.570,23266.414,23221.543,56.986420,56.490837,56.319809,23225.180,56.599014
01-02-2023 5:00:00000,567.069824,8.513072,0.000000,19.820724,23186.520,23264.775,23220.586,56.987610,56.505558,56.310509,23223.955,56.601196
01-02-2023 5:15:00000,567.063293,8.831689,0.000000,18.457094,23185.164,23262.682,23218.014,56.966637,56.499256,56.313976,23221.941,56.593319
01-02-2023 5:30:00000,567.085449,8.538351,0.000000,18.071144,23187.566,23265.066,23221.932,56.965660,56.481678,56.290451,23224.842,56.579250
01-02-2023 5:45:00000,566.996338,8.967170,0.000000,17.766436,23186.396,23264.592,23221.500000,56.970493,56.473419,56.282379,23224.156250,56.575390
01-02-2023 6:00:00000,567.026062,9.407728,0.000000,17.556843,23182.748,23260.361,23218.914,56.989487,56.496548,56.280613,23220.680,56.588848
01-02-2023 6:15:00000,566.998840,9.676375,0.000000,17.452496,23185.811,23263.111,23222.242,56.979172,56.494434,56.262653,23223.713,56.578732
01-02-2023 6:30:00000,567.021790,10.083369,0.000000,16.802580,23184.658,23262.885,23220.955,56.983391,56.488064,56.268528,23222.836,56.580013
01-02-2023 6:45:00000,567.104980,10.244527,0.000000,16.258831,23181.383,23260.437500,23218.898,57.009258,56.491909,56.273560,23220.218750,56.591549
01-02-2023 7:00:00000,567.025085,10.895741,0.000000,15.210981,23184.593750,23262.631,23221.654,56.986229,56.486584,56.246323,23222.965,56.573097
01-02-2023 7:15:00000,566.957397,11.406045,0.000000,14.851599,23186.861,23264.436,23222.910,56.964256,56.478615,56.241283,23224.729,56.561371
01-02-2023 7:30:00000,566.935242,11.471062,0.000000,14.714367,23188.238,23265.945,23222.383,56.944035,56.464207,56.258354,23225.527,56.555573
